Doc-IDs,Reference-Code,Paper-Type
http://acrs2015.ccgeo.info/proceedings/THP3-3.pdf,T,G
http://arxiv.org/abs/1506.01481,T,G
http://aulavirtual.ig.conae.gov.ar/moodle/pluginfile.php/513/mod_page/content/47/Garcia%20Ferreyra%20final%20report.pdf,T,G
http://bib.irb.hr/prikazi-rad?rad=221877,T,G
http://bibdigital.epn.edu.ec/handle/15000/6467,T,G
http://bibdigital.epn.edu.ec/handle/15000/8069,T,G
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.502.65&rep=rep1&type=pdf,T,G
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.539.4953&rep=rep1&type=pdf,T,G
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.582.659&rep=rep1&type=pdf,T,G
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.686.8598&rep=rep1&type=pdf,T,G
http://content.lib.utah.edu/utils/getfile/collection/etd3/id/3138/filename/3141.pdf,T,G
http://digitalcommons.wku.edu/stu_hon_theses/235,T,G
http://etd.lib.metu.edu.tr/upload/12617818/index.pdf,T,G
http://etd.lsu.edu/docs/available/etd-04212011-165830/,T,G
http://gissky.net/paper/UploadFiles_4495/201207/2012071712280495.pdf,T,G
http://hdl.handle.net/10046/758,T,G
http://hdl.handle.net/10092/3920,T,G
http://hdl.handle.net/10092/8707,T,G
http://hdl.handle.net/10125/100367,T,G
http://hdl.handle.net/10125/7025,T,G
http://hdl.handle.net/10174/18259,T,G
http://hdl.handle.net/10183/87272,T,G
http://hdl.handle.net/10347/9808,T,G
http://hdl.handle.net/10397/4103,T,G
http://hdl.handle.net/11627/47,T,G
http://hdl.handle.net/123456789/2193,T,G
http://hdl.handle.net/1853/52338,T,G
http://hdl.handle.net/2115/59692,T,G
http://hdl.handle.net/2142/49556,T,G
http://hdl.handle.net/2261/54146,T,G
http://hdl.handle.net/2346/8926,T,G
http://ir.rcees.ac.cn/handle/311016/8818,T,G
http://ir.uiowa.edu/etd/1744/,T,G
http://ir.uiowa.edu/etd/1814/,T,G
http://josemanuelgalvez.net/documents/2006_Brazil_FNL.pdf,T,G
http://kups.ub.uni-koeln.de/id/eprint/4707,T,G
http://maretec.mohid.com/PublicData/products/ConferencePapers/Hidrodin%C3%A2micaMadeira.pdf,T,G
http://mtc-m16d.sid.inpe.br/col/sid.inpe.br/mtc-m19/2010/10.04.13.35/doc/publicacao.pdf,T,G
http://oa.upm.es/40/,T,G
http://pubman.mpdl.mpg.de/pubman/item/escidoc:1539454/component/escidoc:1539455/WEB_BzE_116.pdf,T,G
http://qk.cams.cma.gov.cn/jams/ch/reader/create_pdf.aspx?file_no=20090304,T,G
http://qk.cams.cma.gov.cn/jams/ch/reader/create_pdf.aspx?file_no=20120109,T,G
http://repository.fareastgeology.ru:80/handle/123/105334,T,G
http://revista.fct.unesp.br/index.php/geografiaematos/article/view/2848,T,G
http://submission.scielo.br/index.php/rbmet/article/view/18628,T,G
http://trace.tennessee.edu/utk_graddiss/817,T,G
http://vjol.info.vn/index.php/JSTD/article/viewArticle/3457,T,G
http://www.actasc.cn/hjkxxb/ch/reader/create_pdf.aspx?file_no=20120104006&year_id=2012&quarter_id=11&falg=1,T,G
http://www.aos.wisc.edu/uwaosjournal/Volume12/Wu_PhD_Thesis.pdf,T,G
http://www.astroscu.unam.mx/rmaa/RMxAC..41/PDF/RMxAC..41_msarazin.pdf,T,G
http://www.astroscu.unam.mx/rmaa/RMxAC..41/PDF/RMxAC..41_ocuevas.pdf,T,G
http://www.bdigital.unal.edu.co/3146/,T,G
http://www.bdigital.unal.edu.co/42962/,T,G
http://www.cmsjournal.net/qxxb_cn/ch/reader/create_pdf.aspx?file_no=060404,T,G
http://www.cmsjournal.net/qxxb_cn/ch/reader/create_pdf.aspx?file_no=20100401,T,G
http://www.harmo.org/Conferences/Proceedings/_Madrid/publishedSections/H15-157.pdf,T,G
http://www.harmo.org/Conferences/Proceedings/_Paris/publishedSections/H13-229-abst.pdf,T,G
http://www.harmo.org/conferences/Proceedings/_Varna/publishedSections/H16-095-Dimitrova-EA.pdf,T,G
http://www.hyxb.org.cn/aos/ch/reader/create_pdf.aspx?file_no=20080404&flag=1&journal_id=aos&year_id=2008,T,G
http://www.hyxb.org.cn/aos/ch/reader/create_pdf.aspx?file_no=20090405&year_id=2009&quarter_id=4&falg=1,T,G
http://www.iemss.org/iemss2008/uploads/Main/S20-03-Sfetsos_et_al-IEMSS2008.pdf,T,G
http://www.ift.unesp.br/users/raupp/publicacoes/TripletoRessonateObservado.pdf,T,G
http://www.ipcbee.com/vol19/14-ICECS2011R00024.pdf,T,G
http://www.jamstec.go.jp/esc/publication/journal/jes_vol.9/pdf/JES9-21-prabir-akimoto.pdf,T,G
http://www.mohid.com/PublicData/Products/ConferencePapers/10CdACampuzanoetal.pdf,T,G
http://www.mpimet.mpg.de/fileadmin/IMPRS/Dissertations/Trusilova_Thesis.pdf,T,G
http://www.nssl.noaa.gov/users/mansell/icae2014/preprints/Barth_336.pdf,T,G
http://www.phy.pku.edu.cn/merg/media/papers/09-fjl.pdf,T,G
